community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_fe2_e	0.0571428571428571	0.99	1	0.0565714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_fe3pyovd_kt_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_glyc_e	0.0571428571428571	0.01	1	0.0005714285714285	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_h2o_e	0.0571428571428571	0.02	1	0.0011428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Haliea_salexigens_DSM_19537_	M_nh4_e	0.0571428571428571	0.03	1	0.0017142857142857	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_acald_e	1.0	0.57	1	0.57	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_fe2_e	1.0	0.99	1	0.99	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_fe3pyovd_kt_e	1.0	0.02	1	0.02	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_glyc_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_h2o_e	1.0	0.02	1	0.02	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_istfrnA_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_leu__L_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Halocynthiibacter_arcticus_PAMC_20958_	M_nh4_e	1.0	0.03	1	0.03	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_acald_e	0.5142857142857142	0.57	1	0.2931428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_ala__D_e	0.5142857142857142	0.01	1	0.0051428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_arg__L_e	0.5142857142857142	0.06	1	0.0308571428571428	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_asp__D_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_asp__L_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_cys__L_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_fe2_e	0.5142857142857142	0.99	1	0.5091428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_fe3pyovd_kt_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_g3pg_e	0.5142857142857142	1.0	1	0.5142857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_glu__L_e	0.5142857142857142	0.01	1	0.0051428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_glyald_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_glyc_e	0.5142857142857142	0.01	1	0.0051428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_gthrd_e	0.5142857142857142	0.03	1	0.0154285714285714	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_gua_e	0.5142857142857142	0.34	1	0.1748571428571428	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_h2o_e	0.5142857142857142	0.02	1	0.0102857142857142	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_leu__L_e	0.5142857142857142	0.01	1	0.0051428571428571	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_met__L_e	0.5142857142857142	0.03	1	0.0154285714285714	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_nh4_e	0.5142857142857142	0.03	1	0.0154285714285714	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Moritella_viscosa_	M_no2_e	0.5142857142857142	0.01	1	0.0051428571428571	1222.B5.5.7.06
